Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
568678, Havlíčkův Brod, Obec: Herálec,536,347,347,24,2,0,21,0,17,55,0,1,3,1,2,36,0,16,125,0,16,1,1,2,2,21,0
568678, Havlíčkův Brod, Obec: Herálec,107,64,64,6,0,0,6,0,2,4,4,0,2,0,1,9,0,3,18,0,0,0,1,0,0,7,0
568678, Havlíčkův Brod, Obec: Herálec,66,54,54,2,0,0,6,0,4,10,0,0,1,0,0,0,0,0,23,0,1,0,0,0,0,5,1
568678, Havlíčkův Brod, Obec: Herálec,110,59,58,3,0,0,10,0,1,12,1,2,1,0,0,2,0,4,14,1,3,0,1,0,0,3,0
548596, Havlíčkův Brod, Obec: Heřmanice,37,"69,81",37,7,0,0,1,0,3,1,1,0,3,0,0,1,0,0,15,1,1,0,1,0,0,2,0
568694, Havlíčkův Brod, Obec: Hněvkovice,274,"57,20",272,29,1,0,27,0,5,30,1,1,2,0,0,20,1,12,92,1,18,0,0,0,0,32,0
568708, Havlíčkův Brod, Obec: Horní Krupá,300,"70,75",297,51,1,0,20,2,12,9,2,0,3,0,0,23,0,22,68,1,60,0,1,3,1,18,0
548243, Havlíčkův Brod, Obec: Horní Paseka,45,"68,18",45,8,0,0,5,0,2,2,0,0,0,1,0,3,0,0,18,0,2,0,0,0,0,4,0
568724, Havlíčkův Brod, Obec: Hradec,118,"58,42",116,13,0,0,5,0,6,13,2,1,0,0,0,4,0,13,41,0,9,0,0,0,0,9,0
530646, Havlíčkův Brod, Obec: Hurtova Lhota,110,"54,73",110,12,0,0,22,0,6,6,0,2,1,1,0,10,0,0,28,0,8,0,0,1,0,13,0
568759, Havlíčkův Brod, Obec: Chotěboř,1 276,756,756,96,7,0,56,0,26,59,9,7,11,0,0,86,2,27,242,1,32,0,8,3,7,69,3
568759, Havlíčkův Brod, Obec: Chotěboř,1 032,712,712,70,2,0,62,0,26,50,8,2,8,1,1,101,0,29,247,1,35,0,4,1,0,49,2
568759, Havlíčkův Brod, Obec: Chotěboř,952,621,621,102,4,1,51,1,15,58,7,1,3,1,1,64,0,20,188,3,42,0,5,2,2,44,1
568759, Havlíčkův Brod, Obec: Chotěboř,1 137,752,752,109,3,1,53,2,29,59,12,3,5,0,1,93,0,35,205,2,41,0,8,1,0,87,1
568759, Havlíčkův Brod, Obec: Chotěboř,984,645,645,79,4,0,58,1,8,60,10,5,11,1,1,76,0,19,185,1,42,0,5,0,1,73,1
568759, Havlíčkův Brod, Obec: Chotěboř,1 122,726,726,115,7,1,56,1,25,48,16,4,4,1,1,100,0,23,206,3,33,0,2,0,3,71,1
568759, Havlíčkův Brod, Obec: Chotěboř,230,139,139,10,0,0,15,0,0,22,1,1,2,1,0,19,0,2,43,0,10,0,0,0,0,13,0
568759, Havlíčkův Brod, Obec: Chotěboř,94,58,58,4,0,0,3,0,2,8,0,1,0,0,0,6,0,3,19,0,3,0,0,0,0,8,0
568759, Havlíčkův Brod, Obec: Chotěboř,66,52,52,9,0,0,4,0,2,10,0,0,0,0,1,4,0,2,14,0,2,0,0,0,0,3,1
568759, Havlíčkův Brod, Obec: Chotěboř,125,84,84,16,0,0,8,0,2,10,0,0,2,0,0,12,0,2,19,0,6,0,0,0,0,7,0
568759, Havlíčkův Brod, Obec: Chotěboř,152,114,114,12,0,0,9,1,2,19,1,3,0,0,0,6,0,4,34,0,8,0,0,0,0,15,0
568759, Havlíčkův Brod, Obec: Chotěboř,128,81,81,9,0,0,7,0,4,7,1,1,1,0,0,10,0,1,34,0,2,0,0,0,0,4,0
568759, Havlíčkův Brod, Obec: Chotěboř,104,57,57,7,1,0,4,0,4,8,3,1,0,0,0,5,1,1,11,0,6,0,1,0,0,3,1
568759, Havlíčkův Brod, Obec: Chotěboř,200,117,117,13,0,0,13,0,4,14,1,0,2,0,0,18,0,2,30,1,14,0,1,0,0,2,1
568767, Havlíčkův Brod, Obec: Chrtníč,60,"58,82",60,3,0,0,5,0,4,7,0,0,0,0,0,6,0,1,22,0,5,0,2,0,0,4,1
573574, Havlíčkův Brod, Obec: Chřenovice,83,"63,36",82,2,0,0,7,0,1,15,1,2,1,0,1,6,0,1,34,0,8,0,0,0,0,3,0
568783, Havlíčkův Brod, Obec: Jedlá,42,"63,64",42,3,0,0,2,0,6,8,1,0,0,0,0,2,0,0,7,0,8,0,0,0,0,5,0
568805, Havlíčkův Brod, Obec: Jeřišno,156,"66,95",155,11,0,0,12,1,17,14,0,0,1,0,0,14,1,3,55,1,3,0,0,0,0,20,2
548413, Havlíčkův Brod, Obec: Jilem,77,"74,04",77,3,0,0,14,0,8,9,0,0,1,0,1,10,0,3,19,1,2,0,0,0,0,6,0
546216, Havlíčkův Brod, Obec: Jitkov,129,"68,25",128,11,1,0,25,0,9,13,0,0,3,0,1,12,0,6,36,0,5,0,0,0,0,6,0
568821, Havlíčkův Brod, Obec: Kámen,228,"69,51",228,13,1,1,13,0,23,35,2,3,0,1,0,17,0,6,68,1,26,0,2,0,0,16,0
568848, Havlíčkův Brod, Obec: Kamenná Lhota,106,"52,22",106,18,1,0,7,0,6,5,1,1,0,0,0,6,0,7,39,0,4,0,0,0,0,11,0
568856, Havlíčkův Brod, Obec: Klokočov,102,"77,86",102,9,0,0,7,0,10,15,2,1,3,0,0,19,0,9,20,0,4,0,0,0,0,3,0
548286, Havlíčkův Brod, Obec: Knyk,220,"64,52",216,23,0,0,16,0,15,13,6,1,4,0,0,20,0,15,70,1,15,1,0,0,1,11,4
548529, Havlíčkův Brod, Obec: Kochánov,75,"59,52",75,5,0,0,10,0,2,3,1,1,0,0,0,4,0,1,27,0,16,0,1,0,0,4,0
568881, Havlíčkův Brod, Obec: Kojetín,109,"76,76",109,12,2,0,8,0,5,7,4,1,1,0,0,12,0,2,31,1,18,0,0,0,0,5,0
548189, Havlíčkův Brod, Obec: Kouty,118,"70,24",117,6,0,0,7,0,8,9,0,0,6,0,0,13,0,4,37,0,7,0,0,0,1,19,0
568899, Havlíčkův Brod, Obec: Kozlov,136,"71,20",136,9,0,0,14,0,4,27,0,2,0,0,0,11,0,3,33,0,14,0,0,1,0,18,0
568902, Havlíčkův Brod, Obec: Kožlí,479,308,308,33,3,0,27,0,20,38,4,2,2,0,0,20,2,8,91,1,19,0,2,0,2,29,0
568902, Havlíčkův Brod, Obec: Kožlí,129,83,83,11,0,0,7,0,2,8,0,0,0,0,0,10,0,6,21,0,2,0,0,0,0,14,0
568902, Havlíčkův Brod, Obec: Kožlí,59,42,42,0,0,0,5,0,1,11,0,0,1,0,0,9,0,0,4,0,1,0,0,0,0,10,0
548618, Havlíčkův Brod, Obec: Kraborovice,62,"74,70",62,8,0,0,12,0,3,3,0,0,0,0,0,6,0,0,25,0,2,0,1,1,0,1,0
568929, Havlíčkův Brod, Obec: Krásná Hora,237,"56,43",237,21,0,1,12,0,15,19,3,1,4,0,0,22,0,9,104,0,8,0,1,0,2,14,1
568937, Havlíčkův Brod, Obec: Krátká Ves,82,"69,49",82,8,0,0,5,1,0,4,0,0,2,0,0,26,0,0,24,0,5,0,0,0,0,7,0
568945, Havlíčkův Brod, Obec: Krucemburk,1 077,691,691,50,1,1,50,0,45,49,11,3,13,0,0,47,0,30,200,1,106,0,8,1,1,67,3
568945, Havlíčkův Brod, Obec: Krucemburk,144,93,93,9,1,0,4,0,6,11,2,1,0,0,0,6,0,2,41,0,0,0,0,0,0,8,0
568945, Havlíčkův Brod, Obec: Krucemburk,49,36,36,4,0,0,5,0,2,2,1,0,0,0,0,3,0,1,12,0,2,0,0,0,0,3,0
548570, Havlíčkův Brod, Obec: Kunemil,65,"65,66",64,0,0,0,6,0,6,4,0,4,8,0,0,0,0,1,26,0,6,0,0,0,1,1,1
568953, Havlíčkův Brod, Obec: Květinov,129,"72,88",128,12,0,0,12,1,7,16,2,0,1,0,0,11,2,10,38,0,4,0,0,0,0,11,1
548308, Havlíčkův Brod, Obec: Kyjov,82,"70,09",82,1,0,0,9,0,3,8,0,0,3,0,0,14,0,1,36,0,4,0,0,0,0,3,0
568970, Havlíčkův Brod, Obec: Kynice,47,"69,12",47,1,0,0,1,1,0,3,0,0,0,0,0,1,0,0,22,0,7,0,0,0,0,11,0
548481, Havlíčkův Brod, Obec: Lány,35,"77,78",35,5,0,0,4,0,3,3,0,0,1,0,0,4,0,0,5,0,4,0,0,0,0,6,0
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,587,281,275,26,0,0,30,0,10,36,6,3,5,0,0,27,0,8,91,0,10,0,3,0,0,18,1
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,901,553,552,51,0,0,45,0,16,65,11,5,9,0,1,43,1,23,188,1,50,0,6,0,0,33,3
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,928,575,575,71,0,0,51,0,27,45,10,7,6,1,0,51,1,30,188,0,36,0,5,1,0,38,3
