Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
540331, Šumperk, Obec: Malá Morava,98,57,57,4,0,0,1,0,4,4,0,0,0,0,0,8,0,0,25,0,0,3,0,1,0,0,7,0
540331, Šumperk, Obec: Malá Morava,87,51,51,3,0,0,1,0,2,6,0,2,0,0,0,9,0,3,20,0,0,1,0,0,0,0,4,0
540331, Šumperk, Obec: Malá Morava,119,71,71,8,0,0,5,0,6,15,1,0,0,0,0,1,0,0,14,0,0,2,0,1,0,0,17,0
540366, Šumperk, Obec: Maletín,130,"41,27",130,11,0,0,5,0,10,27,5,1,0,0,0,7,0,1,43,0,0,4,1,0,1,0,14,0
569381, Šumperk, Obec: Mírov,244,"46,30",241,14,1,1,14,1,10,41,2,2,2,0,0,27,0,2,80,0,0,10,0,0,0,3,28,3
540471, Šumperk, Obec: Mohelnice,1 156,762,761,68,0,6,46,2,28,89,10,3,7,0,3,50,0,28,255,0,3,44,0,2,0,1,102,1
540471, Šumperk, Obec: Mohelnice,1 012,604,603,54,2,7,47,0,21,65,13,2,8,1,2,66,0,18,190,0,1,20,0,2,1,1,75,2
540471, Šumperk, Obec: Mohelnice,830,453,453,25,3,3,46,1,12,42,14,0,5,0,0,36,1,15,175,0,0,18,0,3,1,0,49,0
540471, Šumperk, Obec: Mohelnice,1 521,667,667,56,1,4,57,0,21,60,11,5,10,0,0,74,0,22,193,0,0,39,0,5,2,3,100,1
540471, Šumperk, Obec: Mohelnice,946,607,607,44,3,0,44,1,16,60,11,6,7,0,0,50,1,20,210,2,1,37,0,3,1,3,81,4
540471, Šumperk, Obec: Mohelnice,904,532,532,33,3,6,51,0,26,57,9,4,7,1,1,56,1,20,169,0,1,23,0,6,0,0,56,1
540471, Šumperk, Obec: Mohelnice,293,152,152,8,0,0,15,0,6,22,2,1,3,0,0,11,0,0,45,0,0,13,0,3,0,0,17,0
540471, Šumperk, Obec: Mohelnice,166,105,105,8,3,0,3,0,5,14,1,0,0,1,0,7,0,1,27,1,0,13,0,0,0,1,18,1
540471, Šumperk, Obec: Mohelnice,204,140,140,5,2,0,6,0,6,9,2,0,4,0,0,18,0,2,58,1,0,16,0,0,0,0,11,0
540471, Šumperk, Obec: Mohelnice,127,81,81,5,0,0,4,0,0,7,7,0,0,0,0,8,0,4,31,0,0,4,0,0,0,0,11,0
540471, Šumperk, Obec: Mohelnice,112,69,69,3,0,0,3,1,6,9,0,0,1,0,0,10,0,0,24,0,0,2,0,0,0,1,9,0
540471, Šumperk, Obec: Mohelnice,124,71,71,1,0,0,3,0,8,12,0,0,0,0,0,2,0,3,28,0,0,8,0,0,0,0,6,0
540471, Šumperk, Obec: Mohelnice,139,95,95,8,0,0,2,0,2,10,0,1,4,0,0,2,0,1,28,1,2,23,0,0,0,0,11,0
540480, Šumperk, Obec: Moravičany,882,566,565,44,0,1,35,0,61,39,3,3,3,0,0,46,0,16,176,0,1,73,0,1,0,4,53,0
540480, Šumperk, Obec: Moravičany,172,97,97,7,1,2,3,0,11,13,0,1,0,0,0,8,0,0,28,0,1,8,0,0,1,0,10,1
