Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535826, České Budějovice, Obec: Adamov,474,"69,50",472,91,0,2,37,0,36,40,4,3,13,0,1,43,0,23,126,0,0,12,0,3,1,0,36,1
536156, České Budějovice, Obec: Bečice,63,"76,83",63,3,0,0,1,0,5,3,0,1,1,0,0,8,0,5,17,0,0,10,0,0,0,0,9,0
544272, České Budějovice, Obec: Borek,923,"75,97",914,123,1,3,52,0,58,62,15,5,26,0,1,93,0,65,275,1,0,47,0,14,5,0,66,2
544281, České Budějovice, Obec: Borovany,1 296,771,767,68,2,0,60,0,20,77,7,9,7,2,2,71,2,32,252,0,1,70,2,9,3,1,68,1
544281, České Budějovice, Obec: Borovany,1 045,689,689,71,2,0,51,1,41,51,15,5,5,2,2,53,1,14,208,0,0,73,1,7,2,6,67,6
544281, České Budějovice, Obec: Borovany,331,201,201,27,1,0,13,1,5,16,2,3,4,0,1,18,1,11,67,0,0,5,0,1,0,0,24,1
544281, České Budějovice, Obec: Borovany,141,87,87,8,0,0,4,0,8,19,0,1,0,0,0,13,0,4,13,0,0,5,0,1,0,0,10,1
544281, České Budějovice, Obec: Borovany,201,158,158,12,0,0,12,0,8,12,2,2,6,0,0,10,0,8,45,0,0,13,0,0,0,0,25,1
544281, České Budějovice, Obec: Borovany,86,56,56,5,0,0,4,0,2,4,0,0,2,2,0,6,0,3,13,0,0,5,0,1,0,1,8,0
544281, České Budějovice, Obec: Borovany,64,39,39,1,0,0,1,1,2,3,0,1,1,0,0,1,0,5,17,0,0,1,0,0,0,0,5,0
