Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529303, Benešov, Obec: Benešov,896,306,306,47,0,0,22,0,20,17,4,0,1,0,1,33,0,0,14,79,0,2,21,0,3,0,4,29,2
529303, Benešov, Obec: Benešov,1 010,620,614,82,0,0,63,0,63,55,7,1,12,1,0,73,0,0,25,166,0,0,15,0,2,1,0,45,0
529303, Benešov, Obec: Benešov,540,342,342,36,0,0,26,0,25,27,7,2,4,0,0,41,0,1,9,121,0,0,11,0,1,0,0,31,0
529303, Benešov, Obec: Benešov,810,525,525,50,0,0,39,1,35,36,3,3,7,0,0,59,0,0,27,174,0,1,25,0,6,1,1,53,1
529303, Benešov, Obec: Benešov,711,437,437,63,0,0,25,1,49,20,11,0,3,1,0,49,0,1,36,112,1,2,13,3,4,0,0,39,2
529303, Benešov, Obec: Benešov,537,344,344,34,0,0,34,0,30,29,3,3,5,0,0,32,0,0,9,124,0,1,15,0,1,0,1,21,0
529303, Benešov, Obec: Benešov,696,470,469,60,2,0,23,0,48,39,3,1,5,0,2,51,1,1,25,136,0,0,20,0,4,0,0,43,2
529303, Benešov, Obec: Benešov,502,331,331,39,0,0,35,0,24,29,7,1,4,0,0,24,0,0,5,116,0,1,10,0,4,1,3,25,0
529303, Benešov, Obec: Benešov,661,416,416,39,2,0,42,0,33,45,4,2,10,1,0,39,0,0,19,129,0,2,10,1,6,1,0,29,0
529303, Benešov, Obec: Benešov,541,337,336,31,1,0,47,0,20,27,3,0,5,0,0,30,0,0,9,118,0,0,3,0,1,5,0,33,2
529303, Benešov, Obec: Benešov,189,110,110,15,1,1,7,0,10,4,0,0,3,0,0,8,0,0,10,38,0,0,2,0,2,0,1,8,0
529303, Benešov, Obec: Benešov,510,356,356,42,0,0,32,0,37,33,3,2,4,0,0,47,0,1,17,99,0,0,9,1,3,0,1,23,0
529303, Benešov, Obec: Benešov,490,334,334,48,1,0,16,0,44,25,3,0,5,1,0,42,0,1,16,90,1,0,12,0,3,0,0,25,0
529303, Benešov, Obec: Benešov,630,415,415,63,0,0,40,0,23,27,4,2,6,1,0,47,1,0,20,121,0,0,18,0,1,0,0,41,0
529303, Benešov, Obec: Benešov,754,555,555,80,0,0,26,0,63,31,7,4,5,0,1,60,0,1,27,167,0,4,32,0,7,0,1,36,0
529303, Benešov, Obec: Benešov,492,326,325,38,0,0,29,0,31,18,5,0,2,0,0,30,0,0,24,98,0,2,19,0,1,2,0,26,0
529303, Benešov, Obec: Benešov,874,612,612,90,1,0,32,0,74,31,11,5,6,0,3,69,0,0,44,174,0,2,20,0,3,3,1,38,1
529303, Benešov, Obec: Benešov,831,604,604,72,1,0,26,0,71,24,11,4,14,0,3,84,1,0,27,198,0,1,9,0,4,2,2,50,0
529303, Benešov, Obec: Benešov,856,628,628,80,1,1,26,0,53,46,11,2,8,0,1,86,0,0,41,192,1,0,27,0,2,1,1,48,0
529303, Benešov, Obec: Benešov,98,79,79,8,0,0,3,0,8,11,0,0,1,0,0,9,0,0,3,25,0,0,2,0,0,0,0,9,0
529303, Benešov, Obec: Benešov,165,122,122,12,0,0,17,0,20,5,0,1,2,1,0,10,0,0,0,26,0,3,15,0,0,0,0,10,0
529303, Benešov, Obec: Benešov,189,122,122,13,0,0,8,0,12,7,1,1,0,0,0,20,0,0,4,36,0,0,4,0,0,0,0,13,0
529303, Benešov, Obec: Benešov,122,94,94,10,0,0,6,1,9,11,1,1,0,0,0,5,0,0,3,38,0,0,2,0,0,0,0,7,0
529303, Benešov, Obec: Benešov,492,326,325,38,0,0,29,0,31,18,5,0,2,0,0,30,0,0,24,98,0,2,19,0,1,2,0,26,0
529303, Benešov, Obec: Benešov,874,612,612,90,1,0,32,0,74,31,11,5,6,0,3,69,0,0,44,174,0,2,20,0,3,3,1,38,1
529303, Benešov, Obec: Benešov,831,604,604,72,1,0,26,0,71,24,11,4,14,0,3,84,1,0,27,198,0,1,9,0,4,2,2,50,0
529303, Benešov, Obec: Benešov,856,628,628,80,1,1,26,0,53,46,11,2,8,0,1,86,0,0,41,192,1,0,27,0,2,1,1,48,0
529303, Benešov, Obec: Benešov,98,79,79,8,0,0,3,0,8,11,0,0,1,0,0,9,0,0,3,25,0,0,2,0,0,0,0,9,0
529303, Benešov, Obec: Benešov,165,122,122,12,0,0,17,0,20,5,0,1,2,1,0,10,0,0,0,26,0,3,15,0,0,0,0,10,0
529303, Benešov, Obec: Benešov,189,122,122,13,0,0,8,0,12,7,1,1,0,0,0,20,0,0,4,36,0,0,4,0,0,0,0,13,0
529303, Benešov, Obec: Benešov,122,94,94,10,0,0,6,1,9,11,1,1,0,0,0,5,0,0,3,38,0,0,2,0,0,0,0,7,0
532568, Benešov, Obec: Bernartice,148,"77,49",148,4,0,0,17,0,6,7,1,4,0,0,0,7,0,0,3,39,0,0,37,0,3,0,0,20,0
530743, Benešov, Obec: Bílkovice,121,"71,18",118,7,0,0,15,0,8,18,0,2,0,0,0,3,0,0,2,47,1,0,6,0,0,0,0,9,0
532380, Benešov, Obec: Blažejovice,80,"83,33",77,6,0,0,5,0,3,11,0,0,3,0,0,5,1,0,0,29,0,0,6,0,0,0,0,8,0
532096, Benešov, Obec: Borovnice,54,"73,97",53,2,0,0,2,0,4,4,1,0,1,0,0,3,0,0,1,29,0,0,5,0,0,0,0,1,0
532924, Benešov, Obec: Bukovany,393,"65,72",393,50,0,0,20,0,53,20,8,0,6,0,0,49,0,1,11,127,0,4,8,0,1,1,4,30,0
529451, Benešov, Obec: Bystřice,631,406,405,29,1,0,42,0,29,19,7,0,1,0,1,50,1,0,11,151,0,0,8,0,4,1,0,46,4
529451, Benešov, Obec: Bystřice,760,414,414,34,2,0,37,0,31,18,3,2,5,1,0,47,0,0,17,163,0,0,17,0,0,0,1,34,0
529451, Benešov, Obec: Bystřice,383,251,251,32,0,0,21,0,16,20,1,1,1,0,0,15,1,0,18,80,0,0,8,0,2,1,3,30,0
529451, Benešov, Obec: Bystřice,364,257,257,17,0,0,23,0,19,9,4,4,0,0,0,22,0,1,7,112,1,0,11,0,2,1,0,22,1
529451, Benešov, Obec: Bystřice,105,79,79,6,1,0,4,0,9,6,0,0,0,0,0,7,1,0,1,30,0,0,2,0,0,1,0,11,0
529451, Benešov, Obec: Bystřice,270,170,170,18,2,0,9,0,9,12,2,0,2,0,0,15,0,0,9,66,0,0,8,0,1,0,0,17,0
529451, Benešov, Obec: Bystřice,264,168,168,16,0,0,15,0,13,15,4,1,2,0,0,15,0,0,13,58,0,0,2,0,0,0,0,13,0
529451, Benešov, Obec: Bystřice,160,112,112,18,0,2,10,0,13,10,1,1,0,0,0,9,0,0,7,31,0,0,1,0,0,0,0,9,0
529451, Benešov, Obec: Bystřice,343,214,214,24,0,0,15,0,14,16,3,3,0,0,0,25,0,0,5,78,0,1,9,0,0,1,0,20,0
529451, Benešov, Obec: Bystřice,210,135,135,10,0,0,11,0,5,11,0,0,0,0,0,18,0,0,8,57,0,0,6,0,0,0,0,9,0
532690, Benešov, Obec: Ctiboř,83,"78,30",83,3,0,0,5,0,4,4,2,0,1,0,0,11,0,0,2,35,0,0,11,0,0,0,0,5,0
529478, Benešov, Obec: Čakov,71,"76,34",71,7,0,0,6,0,8,3,0,0,2,0,0,6,0,0,8,15,0,0,6,0,0,0,0,10,0
529486, Benešov, Obec: Čechtice,820,524,524,48,0,1,41,2,27,41,3,5,15,0,0,47,0,0,28,152,0,2,66,1,1,1,2,33,4
529486, Benešov, Obec: Čechtice,53,37,37,5,0,0,1,0,1,5,0,0,0,0,0,2,0,0,2,16,0,0,4,0,0,0,0,0,0
529486, Benešov, Obec: Čechtice,44,31,31,6,0,0,2,0,2,5,0,0,0,0,0,1,0,0,1,6,0,0,1,0,5,0,0,2,0
529486, Benešov, Obec: Čechtice,65,57,57,3,0,0,2,0,3,6,0,1,0,0,0,6,1,0,0,25,0,1,6,0,2,0,0,1,0
529486, Benešov, Obec: Čechtice,79,51,51,7,1,0,2,0,12,5,0,0,0,0,0,0,0,0,2,14,0,0,1,0,0,1,0,6,0
529486, Benešov, Obec: Čechtice,79,50,50,1,0,0,6,0,5,13,2,0,0,0,0,2,0,0,2,13,0,0,3,0,0,0,0,2,0
529516, Benešov, Obec: Čerčany,1 321,862,860,117,0,0,67,1,69,37,15,4,7,0,1,134,0,0,59,246,0,5,23,1,8,2,0,55,3
529516, Benešov, Obec: Čerčany,874,591,591,83,1,0,30,0,57,29,7,7,8,0,0,57,0,1,48,178,1,4,29,0,4,1,1,43,0
529532, Benešov, Obec: Červený Újezd,187,"72,48",187,13,0,0,5,0,13,15,3,2,3,0,2,23,0,0,3,53,0,0,30,0,4,0,0,18,0
529541, Benešov, Obec: Český Šternberk,82,"63,57",82,9,0,0,3,0,6,3,1,0,1,0,0,6,0,0,8,25,0,0,3,0,0,0,0,17,0
529567, Benešov, Obec: Čtyřkoly,403,"74,77",400,72,0,0,20,1,43,15,1,2,11,2,0,46,0,0,39,91,0,1,11,0,4,0,0,38,3
532746, Benešov, Obec: Děkanovice,40,"81,63",40,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,13,0,0,11,0,0,0,0,8,0
529621, Benešov, Obec: Divišov,1 012,627,627,35,0,0,45,0,67,63,2,5,14,2,1,54,0,1,30,199,0,2,37,0,4,3,0,51,2
529621, Benešov, Obec: Divišov,81,58,58,9,0,0,5,1,4,4,0,1,0,0,0,7,0,0,4,12,0,0,1,0,0,0,0,7,1
529621, Benešov, Obec: Divišov,58,40,40,2,0,0,5,0,9,2,1,0,0,0,0,3,0,0,3,5,0,0,6,0,0,0,0,4,0
529621, Benešov, Obec: Divišov,57,42,42,5,0,0,2,0,3,5,0,1,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,2,0
529621, Benešov, Obec: Divišov,97,63,63,1,0,0,3,0,3,4,0,0,0,0,0,8,0,0,2,22,0,0,5,0,0,0,0,15,0
529648, Benešov, Obec: Dolní Kralovice,445,"61,21",445,24,0,0,45,0,24,66,8,2,9,0,0,47,0,1,9,150,0,1,30,0,0,2,0,26,1
532151, Benešov, Obec: Drahňovice,58,"82,86",57,8,0,0,1,0,2,1,1,0,1,0,0,6,0,0,3,18,0,1,5,0,1,0,0,9,0
532843, Benešov, Obec: Dunice,38,"69,09",38,5,0,0,6,0,3,3,0,0,0,0,0,5,0,0,1,10,0,0,4,0,0,0,0,1,0
529702, Benešov, Obec: Heřmaničky,95,76,75,3,0,0,2,0,8,15,1,0,0,0,0,2,0,0,2,20,0,0,2,0,3,0,1,16,0
529702, Benešov, Obec: Heřmaničky,373,236,236,22,0,0,14,0,19,19,3,2,0,0,0,16,0,1,5,101,0,0,9,1,2,0,1,21,0
529702, Benešov, Obec: Heřmaničky,103,63,63,2,1,0,6,0,7,5,0,1,0,0,0,7,0,0,3,22,0,0,3,0,0,0,0,6,0
532932, Benešov, Obec: Hradiště,19,"79,17",19,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,10,0,0,2,0,1,0,0,1,0
529737, Benešov, Obec: Hulice,173,"73,00",173,20,0,0,11,0,11,20,1,0,2,0,0,12,0,0,4,70,0,1,6,0,0,1,0,13,1
529745, Benešov, Obec: Hvězdonice,189,"73,54",189,23,1,0,6,0,13,14,1,4,1,1,0,32,0,0,12,49,0,0,0,0,1,0,0,31,0
532886, Benešov, Obec: Chářovice,114,"78,62",112,8,1,0,11,0,15,17,0,1,4,0,1,10,0,0,0,37,1,1,0,0,0,0,0,5,0
532878, Benešov, Obec: Chleby,33,"71,74",32,3,0,0,0,0,9,2,1,1,0,0,0,2,0,0,0,10,0,0,1,0,0,0,0,3,0
532045, Benešov, Obec: Chlístov,177,"63,67",176,29,0,0,5,0,18,5,5,0,2,0,0,32,0,0,7,62,0,0,3,0,2,0,1,5,0
529770, Benešov, Obec: Chlum,87,"77,68",87,5,0,0,3,0,5,6,0,0,0,0,0,4,0,0,0,51,0,0,6,0,0,0,1,6,0
529788, Benešov, Obec: Chmelná,95,"84,82",95,4,0,0,8,0,4,0,1,1,0,0,0,11,0,0,4,23,0,0,33,0,0,1,0,5,0
529796, Benešov, Obec: Chocerady,877,581,580,65,1,1,39,0,34,41,9,4,10,0,2,111,1,0,43,144,0,1,12,0,8,2,0,48,0
529796, Benešov, Obec: Chocerady,114,83,83,9,0,0,11,0,8,10,0,0,2,0,0,8,0,0,3,27,0,0,0,0,0,0,0,5,0
532606, Benešov, Obec: Choratice,34,"58,62",34,5,0,0,2,0,4,1,0,1,0,0,0,0,0,0,3,10,0,0,6,0,0,0,0,2,0
529818, Benešov, Obec: Chotýšany,294,"67,74",292,27,0,0,29,0,31,16,1,5,6,1,0,35,0,1,5,91,0,0,7,0,1,1,2,33,0
