Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
999997,Kypr, Okrsek: 49 Nikósie,83,59,59,18,0,0,1,0,0,1,1,0,0,0,1,16,0,0,13,2,0,0,2,0,0,0,0,4,0
999997,Libanon, Okrsek: 64 Bejrút,19,11,11,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,1,0,0,0,0,0,0
999997,Malajsie, Okrsek: 65 Kuala Lumpur,28,21,21,1,0,0,2,0,0,0,2,0,0,0,0,8,0,0,2,2,0,0,2,0,0,0,0,2,0
999997,Mongolsko, Okrsek: 66 Ulánbátar,23,17,17,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0,1,0,0,1,1,0,1,1
999997,Myanmar, Okrsek: 81 Rangun,22,22,22,1,0,0,3,0,4,0,2,0,0,0,0,7,0,0,4,1,0,0,0,0,0,0,0,0,0
999997,Pákistán, Okrsek: 67 Islámábád,13,10,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0
999997,Saúdská Arábie, Okrsek: 69 Rijád,33,19,19,1,0,0,5,0,0,0,1,0,0,0,0,6,0,0,3,1,0,0,0,0,1,0,0,1,0
999997,Spojené arabské emiráty, Okrsek: 73 Abú Dhabí,125,86,86,20,0,0,3,0,5,1,1,0,3,0,0,19,0,0,19,6,0,0,5,0,1,0,0,3,0
999997,Sýrie, Okrsek: 71 Damašek,13,8,8,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0
999997,Thajsko, Okrsek: 72 Bangkok,76,59,59,23,0,0,0,0,1,0,0,0,0,0,0,10,0,0,10,7,0,0,1,0,1,0,0,6,0
999997,Turecko, Okrsek: 74 Ankara,19,11,11,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0
999997,Turecko, Okrsek: 75 Istanbul,48,32,32,3,0,0,5,0,1,0,2,0,0,0,0,8,0,0,6,4,0,0,2,0,0,0,0,1,0
999997,Uzbekistán, Okrsek: 76 Taškent,10,8,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0
999997,Vietnam, Okrsek: 70 Hanoj,65,56,56,7,0,0,1,0,4,0,4,0,2,0,0,14,0,1,13,2,0,0,2,0,0,1,0,5,0
999997,Argentina, Okrsek: 83 Buenos Aires,93,26,26,0,0,0,0,0,2,0,5,0,2,0,0,1,0,0,8,4,0,0,1,0,0,0,0,3,0
999997,Brazílie, Okrsek: 84 Brasília,19,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0
999997,Brazílie, Okrsek: 85 Sao Paulo,52,28,28,2,0,0,5,2,2,0,2,0,0,0,0,5,0,0,5,1,0,0,1,0,2,0,0,1,0
999997,Chile, Okrsek: 88 Santiago de Chile,39,27,27,6,0,0,1,0,3,0,1,0,1,0,0,6,0,0,7,1,0,0,0,0,0,0,0,1,0
999997,Kanada, Okrsek: 86 Ottawa,167,45,45,4,0,0,3,0,3,0,3,0,1,0,0,10,0,0,10,2,0,0,6,0,0,0,0,3,0
