Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
562343, Děčín, Obec: Arnoltice,233,"69,97",232,33,0,0,20,10,14,1,3,2,1,0,30,0,6,92,1,1,2,0,0,0,0,15,1
562351, Děčín, Obec: Benešov nad Ploučnicí,944,565,565,36,5,0,40,21,58,4,2,4,1,2,43,1,17,238,1,1,8,0,4,3,3,67,3
562351, Děčín, Obec: Benešov nad Ploučnicí,1 112,628,628,46,0,1,45,48,61,7,9,7,11,0,65,0,11,194,1,3,3,0,0,1,10,96,6
562351, Děčín, Obec: Benešov nad Ploučnicí,937,432,432,39,1,2,15,30,54,9,6,5,3,1,24,0,9,145,3,5,6,0,1,1,0,72,0
544647, Děčín, Obec: Bynovec,163,"63,67",162,13,0,0,10,3,16,3,1,5,1,0,21,0,10,47,0,0,1,0,0,0,2,28,1
562394, Děčín, Obec: Česká Kamenice,981,464,464,41,0,0,20,30,56,2,5,7,0,1,43,3,21,153,0,2,7,0,4,1,1,62,2
562394, Děčín, Obec: Česká Kamenice,1 122,624,624,71,2,0,43,45,55,9,5,4,0,0,45,0,14,218,0,4,13,0,9,0,0,81,3
562394, Děčín, Obec: Česká Kamenice,848,490,490,34,0,0,52,26,45,4,4,5,1,2,43,1,3,186,0,3,5,2,3,1,2,62,2
562394, Děčín, Obec: Česká Kamenice,874,546,546,43,1,1,38,28,57,4,2,3,0,0,38,0,29,215,2,1,8,0,2,1,2,69,2
562394, Děčín, Obec: Česká Kamenice,400,208,208,15,0,0,15,15,22,3,3,1,2,0,20,0,7,74,0,0,7,0,0,0,0,22,1
562335, Děčín, Obec: Děčín,784,470,470,59,0,1,27,21,37,8,2,12,0,0,44,2,28,165,0,3,13,1,6,0,1,37,0
562335, Děčín, Obec: Děčín,878,528,528,45,0,0,28,20,47,9,6,19,0,1,43,0,26,186,0,3,24,0,1,1,1,60,2
562335, Děčín, Obec: Děčín,631,387,387,26,0,0,30,11,37,7,1,4,0,2,36,0,11,180,0,0,2,0,1,0,1,31,1
562335, Děčín, Obec: Děčín,854,477,477,54,0,0,32,24,27,11,5,11,0,0,56,0,22,159,0,2,20,0,3,0,0,44,3
562335, Děčín, Obec: Děčín,576,319,319,37,2,0,26,7,38,5,6,4,0,1,38,0,16,92,0,4,6,0,1,1,2,27,1
562335, Děčín, Obec: Děčín,945,679,679,94,3,2,49,25,30,11,2,14,0,2,68,0,41,211,0,2,22,0,8,1,1,88,2
562335, Děčín, Obec: Děčín,890,333,333,28,0,0,22,15,27,12,5,2,0,2,43,2,22,104,0,0,3,0,2,1,3,37,0
562335, Děčín, Obec: Děčín,941,539,539,50,5,1,31,22,36,5,5,6,0,2,42,0,23,207,0,0,9,0,5,1,0,84,4
562335, Děčín, Obec: Děčín,1 025,595,595,53,5,3,45,23,45,4,4,10,0,0,52,0,21,226,0,2,21,0,3,0,0,70,2
562335, Děčín, Obec: Děčín,1 213,714,713,62,0,0,40,28,54,7,9,18,2,6,52,0,26,275,0,2,26,1,10,1,1,88,2
562335, Děčín, Obec: Děčín,604,304,304,26,0,0,22,8,26,5,0,5,0,0,33,0,18,126,1,0,1,0,6,0,2,22,2
562335, Děčín, Obec: Děčín,712,376,376,39,0,0,22,14,22,6,5,10,0,0,31,0,9,158,0,2,7,1,0,2,0,44,1
562335, Děčín, Obec: Děčín,746,407,407,28,0,0,36,13,33,7,0,3,0,1,30,0,9,158,0,3,19,0,2,0,5,55,3
562335, Děčín, Obec: Děčín,1 231,660,660,37,1,1,48,14,58,7,8,14,1,0,46,1,18,304,1,5,14,0,2,1,3,71,2
562335, Děčín, Obec: Děčín,784,410,410,31,4,0,25,20,21,8,4,12,1,2,39,0,13,160,0,5,10,0,2,0,0,48,1
562335, Děčín, Obec: Děčín,651,314,313,24,0,0,28,10,22,6,1,5,1,0,35,0,19,108,1,2,6,0,3,0,0,37,1
562335, Děčín, Obec: Děčín,847,396,396,21,0,1,26,17,38,8,4,7,0,2,26,0,20,145,0,3,9,1,4,0,3,54,5
562335, Děčín, Obec: Děčín,2 162,485,485,32,1,0,27,11,32,5,9,14,1,1,56,2,23,168,0,6,3,0,3,0,4,76,3
562335, Děčín, Obec: Děčín,530,388,388,55,0,0,18,22,26,4,2,5,0,0,41,0,25,125,1,1,11,0,3,0,0,46,1
562335, Děčín, Obec: Děčín,249,51,51,2,1,0,6,4,5,1,1,0,0,0,3,0,0,15,0,0,0,0,1,0,0,10,2
562335, Děčín, Obec: Děčín,512,351,351,46,0,0,13,26,18,3,1,2,2,1,34,0,28,130,1,0,9,0,2,0,0,28,1
562335, Děčín, Obec: Děčín,784,508,508,59,0,0,31,17,35,3,5,10,0,0,50,0,20,202,0,0,11,0,8,0,1,51,3
562335, Děčín, Obec: Děčín,896,496,496,47,0,0,33,25,25,5,4,9,0,0,59,0,15,180,0,3,17,0,10,2,4,55,1
562335, Děčín, Obec: Děčín,879,424,424,40,2,0,29,23,29,3,6,7,1,1,42,0,15,157,0,0,5,0,2,0,0,59,0
562335, Děčín, Obec: Děčín,546,368,368,31,0,0,12,17,23,5,1,13,1,3,38,0,29,131,2,4,16,1,1,0,0,36,4
562335, Děčín, Obec: Děčín,861,473,473,17,0,0,43,19,34,9,5,5,0,2,30,0,21,216,0,3,11,0,1,0,1,51,3
562335, Děčín, Obec: Děčín,822,417,417,15,5,2,44,7,49,3,3,1,2,1,20,0,12,170,0,1,6,1,1,0,0,64,8
562335, Děčín, Obec: Děčín,862,498,498,26,0,0,48,18,55,2,1,7,0,1,22,0,9,231,1,1,6,0,1,1,0,62,1
562335, Děčín, Obec: Děčín,636,391,391,51,1,0,31,8,20,7,0,8,1,0,29,0,10,163,1,0,5,0,8,0,3,43,0
562335, Děčín, Obec: Děčín,1 054,551,551,55,1,1,40,31,41,9,4,6,0,2,57,0,19,220,0,2,5,0,5,0,1,48,2
562335, Děčín, Obec: Děčín,495,173,172,8,0,0,14,5,8,2,2,9,1,0,15,0,6,68,1,0,3,0,6,0,3,20,1
562335, Děčín, Obec: Děčín,960,524,524,39,0,0,33,18,52,4,6,7,1,5,40,0,14,216,1,3,5,0,4,0,6,65,1
562335, Děčín, Obec: Děčín,895,463,463,34,3,0,27,17,28,6,2,8,0,3,72,0,8,170,1,2,9,0,1,1,0,67,3
562335, Děčín, Obec: Děčín,632,390,389,22,2,0,33,19,29,2,4,0,0,0,22,0,7,162,0,5,11,0,5,1,1,62,0
562335, Děčín, Obec: Děčín,850,470,470,23,1,0,34,16,31,9,2,3,0,2,38,1,11,221,0,0,7,0,0,0,0,69,0
562335, Děčín, Obec: Děčín,975,587,587,70,0,0,34,27,47,9,3,8,0,6,51,0,32,185,1,1,14,0,1,1,1,86,6
562335, Děčín, Obec: Děčín,362,167,167,17,0,2,10,6,14,1,0,3,0,0,13,0,10,62,0,2,2,0,1,0,2,22,0
562335, Děčín, Obec: Děčín,491,315,315,20,0,0,18,12,32,2,2,3,2,1,21,0,14,128,1,0,7,0,2,0,2,44,2
562335, Děčín, Obec: Děčín,158,70,70,6,0,0,11,4,9,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0
562335, Děčín, Obec: Děčín,131,88,88,7,0,0,2,3,3,0,1,1,0,0,13,0,5,34,0,0,1,0,0,0,1,16,1
562335, Děčín, Obec: Děčín,222,95,95,6,0,0,5,1,6,2,4,2,0,0,9,0,4,46,0,0,1,0,1,0,0,7,0
562335, Děčín, Obec: Děčín,479,358,358,59,0,0,30,15,20,3,2,2,0,2,30,1,19,129,0,0,7,0,1,0,0,37,1
562335, Děčín, Obec: Děčín,81,61,61,2,0,0,5,3,3,0,0,1,0,3,4,0,8,20,0,0,0,0,1,0,0,11,0
562335, Děčín, Obec: Děčín,439,299,298,30,0,0,10,10,18,7,0,6,0,0,27,0,27,125,0,0,5,0,4,0,0,26,0
562335, Děčín, Obec: Děčín,382,256,256,18,0,1,9,15,13,6,2,5,0,0,25,0,9,113,0,3,11,0,0,0,0,24,0
562335, Děčín, Obec: Děčín,922,511,511,50,2,0,42,15,42,14,6,9,1,2,41,0,20,172,1,0,12,0,1,0,0,76,2
562335, Děčín, Obec: Děčín,793,418,418,36,1,1,23,16,30,1,2,3,0,1,40,1,13,151,0,4,10,0,3,0,2,77,3
562335, Děčín, Obec: Děčín,263,171,171,22,0,1,10,5,8,1,1,8,0,0,23,0,2,57,0,0,4,0,1,0,0,28,0
562335, Děčín, Obec: Děčín,601,342,342,30,0,0,19,11,27,2,3,1,0,0,33,0,13,139,0,4,4,0,2,0,0,50,2
562335, Děčín, Obec: Děčín,928,425,425,19,0,0,53,14,44,4,2,1,1,0,27,1,13,158,0,3,4,0,0,0,1,78,0
562335, Děčín, Obec: Děčín,724,406,406,31,0,1,29,15,29,3,3,3,1,1,28,0,16,172,0,2,3,0,2,2,2,62,0
562335, Děčín, Obec: Děčín,1 114,364,364,26,0,0,29,7,27,6,4,2,0,0,26,0,6,150,0,5,4,0,0,0,0,67,0
562335, Děčín, Obec: Děčín,928,352,352,16,1,1,22,8,24,3,2,3,1,0,37,0,8,135,0,2,2,2,2,0,0,76,2
562335, Děčín, Obec: Děčín,313,173,173,16,0,0,15,4,11,1,1,0,0,0,14,0,4,65,0,0,4,0,0,0,0,37,0
562335, Děčín, Obec: Děčín,182,127,127,1,0,0,10,6,23,1,0,2,0,0,7,0,3,46,0,0,0,0,0,0,3,21,3
562335, Děčín, Obec: Děčín,651,314,313,24,0,0,28,10,22,6,1,5,1,0,35,0,19,108,1,2,6,0,3,0,0,37,1
562335, Děčín, Obec: Děčín,847,396,396,21,0,1,26,17,38,8,4,7,0,2,26,0,20,145,0,3,9,1,4,0,3,54,5
562335, Děčín, Obec: Děčín,2 162,485,485,32,1,0,27,11,32,5,9,14,1,1,56,2,23,168,0,6,3,0,3,0,4,76,3
562335, Děčín, Obec: Děčín,530,388,388,55,0,0,18,22,26,4,2,5,0,0,41,0,25,125,1,1,11,0,3,0,0,46,1
562335, Děčín, Obec: Děčín,249,51,51,2,1,0,6,4,5,1,1,0,0,0,3,0,0,15,0,0,0,0,1,0,0,10,2
562335, Děčín, Obec: Děčín,512,351,351,46,0,0,13,26,18,3,1,2,2,1,34,0,28,130,1,0,9,0,2,0,0,28,1
562335, Děčín, Obec: Děčín,784,508,508,59,0,0,31,17,35,3,5,10,0,0,50,0,20,202,0,0,11,0,8,0,1,51,3
562335, Děčín, Obec: Děčín,896,496,496,47,0,0,33,25,25,5,4,9,0,0,59,0,15,180,0,3,17,0,10,2,4,55,1
562335, Děčín, Obec: Děčín,879,424,424,40,2,0,29,23,29,3,6,7,1,1,42,0,15,157,0,0,5,0,2,0,0,59,0
562335, Děčín, Obec: Děčín,546,368,368,31,0,0,12,17,23,5,1,13,1,3,38,0,29,131,2,4,16,1,1,0,0,36,4
562335, Děčín, Obec: Děčín,861,473,473,17,0,0,43,19,34,9,5,5,0,2,30,0,21,216,0,3,11,0,1,0,1,51,3
562335, Děčín, Obec: Děčín,822,417,417,15,5,2,44,7,49,3,3,1,2,1,20,0,12,170,0,1,6,1,1,0,0,64,8
