Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
588300, Kroměříž, Obec: Bařice-Velké Těšany,208,144,144,4,0,1,13,0,7,18,1,0,1,0,0,7,0,3,38,0,0,17,2,0,0,30,1
588300, Kroměříž, Obec: Bařice-Velké Těšany,166,125,125,11,0,0,7,0,13,12,0,1,2,0,0,10,0,6,33,0,1,13,0,0,0,16,0
588326, Kroměříž, Obec: Bezměrov,270,"63,38",264,20,0,0,21,0,1,21,0,4,2,0,0,22,0,6,86,1,1,25,3,1,0,47,3
542318, Kroměříž, Obec: Blazice,120,"69,77",120,10,0,0,7,1,9,11,1,0,0,1,0,6,0,2,26,0,3,16,0,0,1,26,0
549690, Kroměříž, Obec: Bořenovice,100,"67,11",99,5,0,0,8,0,1,11,3,0,5,0,0,5,0,1,31,0,0,14,1,0,0,14,0
588377, Kroměříž, Obec: Brusné,197,"65,45",196,4,0,0,9,2,5,38,0,1,5,1,0,25,0,2,48,0,0,17,0,3,0,36,0
588385, Kroměříž, Obec: Břest,500,"66,14",491,59,1,0,26,0,11,32,5,5,8,0,1,26,0,13,155,0,0,85,3,1,0,60,0
588393, Kroměříž, Obec: Bystřice pod Hostýnem,1 009,483,482,59,1,1,35,1,16,37,7,0,8,1,0,35,0,13,122,2,0,51,1,0,0,89,0
588393, Kroměříž, Obec: Bystřice pod Hostýnem,816,516,515,38,0,0,41,0,16,40,14,3,4,0,0,39,0,10,168,1,1,18,1,0,0,119,2
588393, Kroměříž, Obec: Bystřice pod Hostýnem,683,399,399,39,0,0,29,0,10,36,1,0,2,4,3,26,1,5,127,2,1,27,5,0,0,80,0
588393, Kroměříž, Obec: Bystřice pod Hostýnem,755,500,500,60,1,0,36,0,23,28,3,2,5,0,1,58,0,20,123,0,1,36,2,1,1,93,3
588393, Kroměříž, Obec: Bystřice pod Hostýnem,556,379,379,33,0,0,27,0,12,27,3,0,3,0,0,16,1,20,105,2,0,46,1,0,0,81,1
588393, Kroměříž, Obec: Bystřice pod Hostýnem,539,373,373,43,0,0,16,0,22,32,3,1,1,0,0,20,0,14,118,0,1,27,1,1,0,65,3
588393, Kroměříž, Obec: Bystřice pod Hostýnem,640,403,403,43,2,0,32,0,18,20,9,3,2,2,0,21,0,6,118,0,0,37,0,0,0,85,1
588393, Kroměříž, Obec: Bystřice pod Hostýnem,732,469,469,31,3,1,19,2,16,40,4,4,5,1,0,31,2,12,161,0,0,32,2,0,1,97,4
588393, Kroměříž, Obec: Bystřice pod Hostýnem,558,325,325,32,0,0,13,1,17,26,1,1,2,3,0,19,1,4,101,0,0,13,0,0,0,83,2
588393, Kroměříž, Obec: Bystřice pod Hostýnem,252,140,140,5,0,0,10,0,5,15,2,0,0,0,0,13,0,1,33,0,1,20,1,0,0,32,1
588393, Kroměříž, Obec: Bystřice pod Hostýnem,226,122,122,4,1,0,3,0,2,4,2,2,0,0,0,4,0,3,49,0,0,15,0,0,0,33,0
588393, Kroměříž, Obec: Bystřice pod Hostýnem,105,68,68,2,0,0,5,0,7,10,0,0,1,0,0,1,0,0,23,0,0,11,1,0,0,7,0
588407, Kroměříž, Obec: Cetechovice,79,"50,32",79,5,0,1,2,0,6,9,0,3,0,0,0,4,0,0,27,0,1,12,0,0,3,6,0
588431, Kroměříž, Obec: Dřínov,217,"60,78",216,7,0,0,22,0,10,46,2,2,1,0,0,7,0,1,69,0,0,16,0,0,2,31,0
588458, Kroměříž, Obec: Holešov,975,547,547,42,4,0,45,2,19,42,5,3,12,0,0,37,0,26,162,0,1,53,1,1,1,70,1
588458, Kroměříž, Obec: Holešov,1 093,471,471,42,3,0,44,0,32,43,4,1,6,0,1,42,0,14,120,0,0,36,0,2,0,74,1
588458, Kroměříž, Obec: Holešov,1 068,707,707,54,4,0,73,1,38,54,6,5,8,0,1,56,4,23,185,0,1,66,4,1,1,111,3
588458, Kroměříž, Obec: Holešov,673,367,367,49,0,0,42,0,24,24,3,2,9,0,1,39,0,8,88,1,0,28,4,2,0,37,2
588458, Kroměříž, Obec: Holešov,623,389,389,29,1,1,50,0,14,62,2,0,5,0,1,25,0,7,102,0,1,23,4,0,0,53,1
588458, Kroměříž, Obec: Holešov,1 051,665,665,64,2,0,76,3,24,58,4,4,4,1,1,63,0,21,175,0,1,56,5,1,2,91,2
588458, Kroměříž, Obec: Holešov,929,589,589,26,1,0,64,0,24,66,8,5,11,0,1,46,1,16,167,1,0,47,5,0,0,97,1
588458, Kroměříž, Obec: Holešov,861,563,563,37,0,0,60,0,21,61,4,2,5,0,0,37,1,25,182,0,2,40,5,0,0,76,3
588458, Kroměříž, Obec: Holešov,837,540,538,49,3,0,40,0,15,53,6,1,10,3,0,39,2,25,138,0,0,65,2,1,4,77,4
588458, Kroměříž, Obec: Holešov,340,215,215,14,1,0,20,0,10,11,1,1,2,0,0,18,0,6,57,0,0,41,0,1,0,30,1
588458, Kroměříž, Obec: Holešov,359,235,235,11,0,0,14,0,8,22,5,1,6,0,0,15,0,3,96,1,1,15,0,0,0,36,0
588458, Kroměříž, Obec: Holešov,432,280,280,30,3,0,18,0,4,37,5,0,2,1,0,27,2,3,88,0,0,19,0,1,0,37,0
588458, Kroměříž, Obec: Holešov,299,195,195,13,0,1,20,0,7,21,1,1,1,0,0,10,0,3,76,0,0,13,0,0,0,27,0
542342, Kroměříž, Obec: Honětice,31,"59,62",31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,5,0
588474, Kroměříž, Obec: Horní Lapač,141,"66,82",139,9,0,0,8,0,5,17,1,0,2,0,0,4,0,0,32,0,0,34,2,1,0,23,1
588482, Kroměříž, Obec: Hoštice,87,"69,60",87,2,0,0,9,0,3,18,0,1,6,0,0,2,0,0,16,0,0,1,1,0,0,28,0
588491, Kroměříž, Obec: Hulín,1 049,464,464,51,2,0,25,0,7,42,5,5,8,0,0,32,0,14,128,1,1,33,5,4,1,92,2
588491, Kroměříž, Obec: Hulín,908,545,545,59,1,0,47,0,30,48,6,1,10,2,1,34,1,9,168,0,1,35,1,0,0,84,1
588491, Kroměříž, Obec: Hulín,756,425,425,54,1,0,32,0,9,40,1,2,6,0,1,29,2,2,141,0,4,19,1,1,0,72,3
588491, Kroměříž, Obec: Hulín,828,531,530,81,0,0,39,2,15,41,6,2,6,1,1,23,2,11,163,0,0,39,3,1,0,90,3
588491, Kroměříž, Obec: Hulín,751,489,487,71,2,0,26,0,11,53,7,6,11,2,1,34,0,3,154,0,2,21,2,1,5,62,3
588491, Kroměříž, Obec: Hulín,1 057,616,616,79,0,0,42,1,12,60,6,3,6,0,2,36,0,6,199,0,1,27,3,1,2,119,4
588491, Kroměříž, Obec: Hulín,350,214,214,24,1,0,6,0,5,17,0,4,5,2,0,10,0,5,63,0,0,39,1,1,0,30,0
588504, Kroměříž, Obec: Chomýž,191,"64,09",191,5,0,0,11,0,4,13,1,0,3,0,1,18,0,4,68,0,0,25,0,0,0,38,0
588512, Kroměříž, Obec: Chropyně,1 122,579,578,50,0,1,39,2,9,75,8,4,6,0,0,31,0,10,193,0,2,29,9,1,3,96,4
588512, Kroměříž, Obec: Chropyně,989,579,579,39,1,0,36,0,20,77,8,5,6,0,1,34,0,10,189,5,2,27,4,0,6,100,5
588512, Kroměříž, Obec: Chropyně,815,506,502,22,3,0,34,0,13,54,9,5,7,1,0,40,0,4,175,1,0,15,4,1,5,105,0
588512, Kroměříž, Obec: Chropyně,963,651,640,55,3,1,50,0,15,61,9,6,7,3,1,36,0,4,242,0,1,20,7,2,3,103,2
588512, Kroměříž, Obec: Chropyně,179,130,130,9,0,0,11,0,5,13,1,0,0,0,0,2,0,6,57,0,0,3,1,0,0,20,2
506737, Kroměříž, Obec: Chvalčov,862,"61,70",858,98,2,1,42,0,39,53,20,3,17,0,6,53,1,19,278,1,0,49,7,0,1,164,4
588547, Kroměříž, Obec: Chvalnov-Lísky,161,92,92,6,0,0,6,0,2,7,0,0,2,0,0,10,0,4,22,0,1,16,0,0,0,15,1
588547, Kroměříž, Obec: Chvalnov-Lísky,38,22,22,4,0,0,1,0,3,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,2,1
588555, Kroměříž, Obec: Jankovice,215,"68,91",213,14,0,1,16,0,10,12,4,1,7,0,0,22,0,7,59,2,0,16,0,0,1,40,1
588563, Kroměříž, Obec: Jarohněvice,164,"68,33",164,17,0,0,20,0,1,11,3,1,3,0,0,12,1,6,45,0,0,18,1,0,0,25,0
587354, Kroměříž, Obec: Karolín,126,"65,28",125,7,2,0,9,0,4,10,2,0,1,0,0,21,0,4,29,0,2,18,0,0,0,16,0
588598, Kroměříž, Obec: Komárno,171,"66,28",171,11,0,0,23,0,15,8,1,1,1,0,2,10,0,0,39,0,2,34,0,1,0,21,2
588601, Kroměříž, Obec: Koryčany,856,438,438,22,0,0,50,0,30,62,1,6,4,1,0,38,0,11,115,0,2,42,0,0,4,49,1
588601, Kroměříž, Obec: Koryčany,800,467,465,26,0,0,63,0,22,87,5,7,11,3,1,39,0,7,97,1,0,27,2,5,0,58,0
588601, Kroměříž, Obec: Koryčany,169,112,111,5,0,0,15,2,4,20,0,2,0,0,0,3,0,1,27,0,0,10,0,0,2,18,2
588601, Kroměříž, Obec: Koryčany,223,108,108,12,0,0,7,0,6,21,0,0,1,0,0,7,0,1,27,0,0,5,0,0,0,21,0
588601, Kroměříž, Obec: Koryčany,244,152,152,15,1,0,12,0,8,14,1,1,5,0,0,13,0,6,54,0,0,8,0,0,0,14,0
588521, Kroměříž, Obec: Kostelany,354,214,214,14,4,0,17,0,10,24,3,2,0,0,0,18,0,9,79,0,0,13,0,2,1,17,0
588521, Kroměříž, Obec: Kostelany,88,60,60,6,2,0,3,0,1,6,0,0,1,0,0,5,0,4,15,0,0,0,0,0,0,14,0
588521, Kroměříž, Obec: Kostelany,72,49,49,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,17,0,0,11,0,0,3,10,1
588610, Kroměříž, Obec: Kostelec u Holešova,693,422,422,36,0,0,32,0,11,44,2,1,5,0,1,22,2,6,121,0,0,62,1,0,2,70,2
588610, Kroměříž, Obec: Kostelec u Holešova,128,85,85,3,1,0,4,0,1,5,1,1,0,0,0,5,0,3,26,0,4,17,0,0,0,12,0
588296, Kroměříž, Obec: Kroměříž,1 268,809,809,74,0,0,53,3,29,59,10,3,9,1,9,73,0,27,264,0,0,51,10,3,2,120,2
588296, Kroměříž, Obec: Kroměříž,1 353,882,882,70,3,0,41,0,32,69,19,7,17,0,12,107,2,22,278,0,3,44,6,2,0,133,7
588296, Kroměříž, Obec: Kroměříž,947,624,624,51,1,0,47,0,11,51,8,5,11,0,3,52,0,22,226,0,1,39,8,3,0,77,2
588296, Kroměříž, Obec: Kroměříž,984,598,598,54,0,0,52,0,14,50,5,1,6,0,1,57,1,16,225,1,0,27,1,0,0,74,3
588296, Kroměříž, Obec: Kroměříž,1 049,608,608,39,0,0,65,1,16,80,9,3,7,0,0,45,0,18,202,0,0,36,3,4,1,72,4
588296, Kroměříž, Obec: Kroměříž,933,584,564,50,1,0,42,0,17,53,6,3,9,0,3,42,0,20,184,0,0,44,1,3,7,74,5
588296, Kroměříž, Obec: Kroměříž,1 743,619,619,89,4,0,28,0,10,50,9,3,9,0,1,79,0,35,148,0,1,47,2,0,1,93,7
588296, Kroměříž, Obec: Kroměříž,1 059,613,611,66,6,0,29,0,27,34,11,3,10,0,5,69,3,30,129,0,0,92,4,0,2,80,3
588296, Kroměříž, Obec: Kroměříž,979,613,613,73,2,0,49,0,18,43,13,7,7,0,1,45,0,28,171,0,2,70,5,1,0,72,2
588296, Kroměříž, Obec: Kroměříž,1 537,1 030,1 030,105,1,0,89,0,29,86,17,3,8,0,2,84,0,25,296,0,0,161,3,1,1,108,5
588296, Kroměříž, Obec: Kroměříž,1 495,1 001,1 000,128,1,3,79,1,36,50,33,3,9,1,3,98,0,50,287,4,1,77,10,1,0,113,4
588296, Kroměříž, Obec: Kroměříž,1 185,689,689,52,1,1,61,3,28,70,12,7,10,1,2,81,0,15,174,0,2,41,5,2,2,112,2
588296, Kroměříž, Obec: Kroměříž,1 463,794,785,80,2,1,72,1,22,68,14,6,12,1,6,72,1,31,208,0,1,53,6,2,0,121,3
588296, Kroměříž, Obec: Kroměříž,1 103,707,701,71,0,0,60,0,28,61,18,3,6,0,1,48,0,21,200,0,2,67,6,2,1,101,4
588296, Kroměříž, Obec: Kroměříž,839,538,538,41,2,0,51,1,22,74,13,1,11,0,1,38,0,11,148,0,1,40,2,2,1,70,4
