Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
569828, Hradec Králové, Obec: Babice,109,"66,06",108,7,1,0,4,0,7,19,3,0,0,1,0,6,0,9,36,0,0,2,1,0,0,12,0
569836, Hradec Králové, Obec: Barchov,141,"62,11",140,21,0,0,9,0,5,16,2,0,2,0,0,19,1,4,46,1,0,3,2,1,1,6,1
569852, Hradec Králové, Obec: Běleč nad Orlicí,207,"76,95",206,38,0,0,8,0,9,1,3,0,7,0,0,16,0,12,76,0,0,10,1,0,0,25,0
569861, Hradec Králové, Obec: Benátky,67,"72,04",67,9,0,0,2,0,9,1,0,0,2,0,0,7,0,5,19,0,0,5,0,0,2,6,0
569879, Hradec Králové, Obec: Blešno,227,"70,50",227,53,1,0,15,0,8,6,2,2,2,0,0,35,0,13,63,3,0,7,0,1,1,14,1
569887, Hradec Králové, Obec: Boharyně,319,202,202,13,0,0,27,1,8,15,3,5,4,0,1,20,0,8,67,0,0,4,6,0,0,20,0
569887, Hradec Králové, Obec: Boharyně,94,55,55,5,1,0,1,0,1,6,0,0,0,0,0,2,0,0,26,0,0,0,2,2,0,9,0
569887, Hradec Králové, Obec: Boharyně,57,40,40,2,0,0,7,0,2,10,0,0,0,1,1,6,0,0,8,0,1,0,0,0,0,2,0
569917, Hradec Králové, Obec: Černilov,1 603,1 033,1 033,130,6,1,42,0,51,64,20,8,20,0,5,116,0,72,276,1,0,84,9,2,2,116,1
569917, Hradec Králové, Obec: Černilov,124,81,81,4,0,0,0,0,3,5,0,0,2,0,1,21,0,6,24,0,0,5,0,1,0,9,0
569917, Hradec Králové, Obec: Černilov,174,120,120,16,0,0,8,1,2,11,0,4,3,1,0,10,0,5,28,0,1,4,2,2,0,21,0
569925, Hradec Králové, Obec: Černožice,578,"64,73",577,41,6,1,20,0,25,52,7,4,8,0,0,68,0,32,223,2,0,30,2,0,1,53,2
569933, Hradec Králové, Obec: Čistěves,83,"64,34",82,10,0,0,2,2,11,2,1,1,1,0,1,15,0,6,21,0,0,6,0,1,0,2,0
569941, Hradec Králové, Obec: Divec,111,"63,43",110,18,0,0,3,0,8,6,3,1,4,0,0,15,0,10,23,0,0,6,2,0,0,11,0
569968, Hradec Králové, Obec: Dobřenice,282,"61,44",279,37,2,0,17,0,4,23,1,2,6,0,0,24,0,17,99,0,0,11,5,0,1,29,1
569976, Hradec Králové, Obec: Dohalice,232,"61,70",231,20,0,0,14,1,16,14,1,2,4,1,0,45,1,13,61,1,0,7,2,0,1,27,0
569984, Hradec Králové, Obec: Dolní Přím,350,253,253,33,1,0,18,1,12,21,0,2,4,0,0,38,0,12,71,0,1,13,0,0,1,22,3
569984, Hradec Králové, Obec: Dolní Přím,148,115,115,21,0,0,5,0,11,4,2,0,0,0,0,12,0,3,26,1,1,11,2,0,2,14,0
569984, Hradec Králové, Obec: Dolní Přím,63,50,50,4,0,0,0,0,4,2,1,1,1,0,0,6,0,6,18,0,0,1,1,0,0,5,0
569992, Hradec Králové, Obec: Habřina,163,"69,36",158,13,1,0,10,0,4,18,0,0,7,0,0,7,0,12,61,0,1,4,0,1,0,19,0
570001, Hradec Králové, Obec: Hlušice,291,"47,24",290,28,0,2,15,0,21,19,4,3,3,0,1,23,0,18,110,1,0,6,4,0,1,31,0
570010, Hradec Králové, Obec: Hněvčeves,90,"66,67",90,16,0,0,2,0,8,4,1,1,5,0,1,10,0,1,34,0,0,5,0,0,0,1,1
570028, Hradec Králové, Obec: Holohlavy,491,"65,73",489,47,1,0,34,1,26,43,3,6,5,0,0,48,0,18,187,1,1,10,4,1,1,48,4
570044, Hradec Králové, Obec: Hořiněves,406,214,214,17,0,0,6,0,7,21,2,4,2,0,1,15,0,8,89,0,1,3,3,0,2,31,0
570044, Hradec Králové, Obec: Hořiněves,102,64,64,4,0,0,1,0,5,5,0,1,1,0,0,6,0,4,24,0,0,2,0,0,0,11,0
570044, Hradec Králové, Obec: Hořiněves,13,9,9,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0
570044, Hradec Králové, Obec: Hořiněves,57,44,44,2,0,0,2,0,0,7,0,0,0,0,0,10,0,3,8,0,0,5,0,0,0,7,0
569810, Hradec Králové, Obec: Hradec Králové,832,490,490,57,1,1,35,0,24,20,14,0,8,0,0,76,0,59,110,0,1,37,2,2,1,37,1
569810, Hradec Králové, Obec: Hradec Králové,824,526,526,79,1,0,20,2,23,21,8,2,11,0,0,72,1,59,112,1,0,41,3,2,0,64,1
569810, Hradec Králové, Obec: Hradec Králové,881,575,575,65,0,2,38,1,23,31,9,8,16,1,0,80,1,58,145,0,0,32,11,0,0,46,2
569810, Hradec Králové, Obec: Hradec Králové,722,482,482,59,1,0,39,2,22,21,11,3,8,0,1,66,1,51,120,0,0,20,11,2,0,39,2
569810, Hradec Králové, Obec: Hradec Králové,873,574,573,95,0,0,31,0,30,22,16,0,9,4,0,74,0,64,112,2,1,45,12,1,1,50,0
569810, Hradec Králové, Obec: Hradec Králové,702,461,461,64,2,0,26,0,17,26,13,4,9,0,4,58,0,46,134,0,0,28,4,1,0,25,0
569810, Hradec Králové, Obec: Hradec Králové,927,569,569,72,2,1,37,0,18,39,7,0,4,0,1,80,0,49,180,0,0,33,6,4,0,34,0
569810, Hradec Králové, Obec: Hradec Králové,745,462,462,80,0,0,24,0,19,19,12,2,16,1,2,64,0,57,87,1,0,33,3,0,0,41,0
569810, Hradec Králové, Obec: Hradec Králové,764,505,504,79,1,2,9,0,28,12,13,0,16,0,2,98,0,63,87,0,0,47,10,0,0,32,1
569810, Hradec Králové, Obec: Hradec Králové,2 659,808,806,113,2,2,31,0,25,48,14,5,21,0,0,121,2,75,179,2,4,57,5,0,2,92,1
569810, Hradec Králové, Obec: Hradec Králové,613,405,405,47,0,2,33,0,16,23,5,1,7,0,0,52,0,34,131,0,0,18,3,0,0,31,2
569810, Hradec Králové, Obec: Hradec Králové,933,571,571,61,0,0,29,0,21,44,13,6,13,0,0,84,1,42,163,2,1,24,11,0,0,54,1
569810, Hradec Králové, Obec: Hradec Králové,705,450,450,61,0,3,20,1,21,18,8,2,9,0,1,54,0,21,131,2,0,29,12,0,0,51,1
569810, Hradec Králové, Obec: Hradec Králové,936,632,630,61,0,0,44,0,19,68,10,2,9,0,1,60,1,37,201,1,1,38,7,1,1,64,3
569810, Hradec Králové, Obec: Hradec Králové,959,604,604,71,0,1,44,2,18,40,10,5,7,1,1,65,0,29,201,1,0,35,5,1,0,63,2
569810, Hradec Králové, Obec: Hradec Králové,987,692,692,72,0,0,53,0,25,43,8,9,17,0,2,87,1,56,178,0,2,41,8,0,0,81,3
569810, Hradec Králové, Obec: Hradec Králové,935,688,672,97,0,0,42,0,27,40,9,4,5,2,1,83,0,53,203,2,1,48,5,1,0,45,2
569810, Hradec Králové, Obec: Hradec Králové,936,609,609,64,2,1,46,1,25,34,6,1,6,1,0,67,2,45,199,0,2,46,12,4,0,43,2
569810, Hradec Králové, Obec: Hradec Králové,831,526,526,57,0,2,32,1,32,34,12,3,4,0,0,79,0,33,136,0,1,37,6,1,1,53,1
569810, Hradec Králové, Obec: Hradec Králové,923,576,576,44,1,0,50,0,19,41,10,7,8,0,0,69,1,37,200,1,1,34,2,2,0,46,0
569810, Hradec Králové, Obec: Hradec Králové,951,644,644,63,0,0,38,1,31,52,5,4,12,1,0,72,1,35,200,0,1,42,5,2,1,69,5
569810, Hradec Králové, Obec: Hradec Králové,624,447,447,65,0,0,19,0,20,26,1,7,4,0,2,47,1,46,151,0,2,14,2,0,0,34,1
569810, Hradec Králové, Obec: Hradec Králové,145,103,103,10,0,0,5,0,1,6,2,1,3,0,1,14,1,10,32,0,0,10,0,0,0,6,0
569810, Hradec Králové, Obec: Hradec Králové,332,229,229,20,0,1,13,0,6,14,8,3,6,0,0,27,1,17,70,1,0,15,4,0,0,19,0
569810, Hradec Králové, Obec: Hradec Králové,721,558,558,66,0,0,34,1,13,21,1,2,15,0,0,67,2,43,177,1,3,59,6,3,0,40,0
569810, Hradec Králové, Obec: Hradec Králové,834,604,604,72,0,0,30,0,20,47,14,4,15,1,0,75,1,43,184,2,0,29,6,4,1,51,2
569810, Hradec Králové, Obec: Hradec Králové,993,687,687,70,0,1,44,4,16,41,14,5,5,1,1,91,1,49,235,3,0,45,4,0,0,53,2
569810, Hradec Králové, Obec: Hradec Králové,1 035,760,760,106,2,0,35,0,35,42,6,2,21,0,2,101,0,89,213,0,1,42,7,0,0,53,1
569810, Hradec Králové, Obec: Hradec Králové,893,658,653,70,0,0,38,0,20,53,9,8,15,0,1,80,0,51,201,1,2,29,4,0,1,63,2
569810, Hradec Králové, Obec: Hradec Králové,827,556,556,96,2,0,36,0,18,30,7,3,5,0,0,87,0,46,148,1,1,28,2,0,0,41,1
